name,description,full_address,address,state,website,phone,email,status,user_id,categories
Bathurst Refugee Support Group,,"BRSG C/- Rahamim PO Box 81, Bathurst NSW 2795"," PO Box 81, Bathurst NSW 2795",NSW,http://www.bathurstrefugeesupportgroup.com/,,contact@bathurstrefugeesupportgroup.com,confirmed,admin,"Financial, Community, Housing"
Australian Afghan Hassanian Youth Association (AAHYA),,"1 Bellona Avenue , Regents Park NSW 2143","1 Bellona Avenue , Regents Park NSW 2143",NSW,www.aahya.org.au,02 9738 7460,aahya@aahya.org.au,confirmed,admin,"Education, Employment, Everyday, Community"
Northcott,,"1 Fennell Street, Parramatta NSW 2150","1 Fennell Street, Parramatta NSW 2150",NSW,https://www.northcott.com.au,1800 818 286,northcott@northcott.com.au,confirmed,admin,Health
Community Migrant Resource Centre,,"Level 4, 1 Horwood Place, Paramatta NSW 2150","1 Horwood Place, Parramatta NSW 2150",NSW,http://www.cmrc.com.au/,02 9687 9901,cso@cmrc.com.au,confirmed,admin,"Community, Education"
Multicultural Youth Affairs Network NSW,,"1 Olympic Boulevard, Sydney Olympic Park NSW 2127","1 Olympic Boulevard, Sydney Olympic Park NSW 2127",NSW,www.myannsw.org.au,0403 527 126,alex@myannsw.org.au,confirmed,admin,Community
Mercy Works Ltd,,"1 Thomas St, Lewisham NSW 2049","1 Thomas St, Lewisham NSW 2049",NSW,mercyworks.org.au/,02 9564 1911,mercyworks@mercy.org.au,confirmed,admin,Community
Mercy Connect - National Office,,"McAuley Centre, 1 Thomas Street , Lewisham NSW 2049","1 Thomas Street , Lewisham NSW 2049",NSW,www.mercyworks.org.au,02 9564 1911,mercyworks@mercy.org.au,confirmed,admin,Education
NSW Council for Civil Liberties,,"203/105 Pitt St, Sydney NSW 2000","105 Pitt St, Sydney NSW 2000",NSW,http://www.nswccl.org.au/,02 8090 2952,office@nswccl.org.au,confirmed,admin,Community
Western Sydney Migrant Resource Centre,,"108 Moore St, Liverpool NSW 2170","108 Moore St, Liverpool NSW 2170",NSW,http://wsmrc.org.au/,02 8778 1200,info@lmrc.org.au,confirmed,admin,Community
Australia for UNHCR,,"120 Sussex Street , Sydney NSW 2000","120 Sussex Street , Sydney NSW 2000",NSW,https://www.unrefugees.org.au/,02 9262 5377,info@unrefugees.org.au,confirmed,admin,Community
SydWest Multicultural Services Inc,,"Level 2,125 Main Street, Blacktown NSW 2148","125 Main Street, Blacktown NSW 2148",NSW,www.sydwestmsi.org.au,02 9621 6633,info@sydwestms.org.au,confirmed,admin,Community
Craddock Murray Neumann,,"Level 3, 131 York Street , Sydney NSW 2000","131 York Street, Sydney NSW 2000",NSW,http://www.craddock.com.au/Default.aspx,02 8268 4000,craddock@craddock.com.au,confirmed,admin,"Visa, Legal"
Granville Multicultural Community Centre,,"Block C242, Granville TAFE, 136 William Street, Granville NSW 2142","136 William Street, Granville NSW 2142",NSW,http://www.cmcs.org.au/,02 9637 7600,info@cmcs.org.au,confirmed,admin,"Community, Financial"
Adventist Development and Relief Agency Australia,,"146 Fox Valley Rd, Wahroonga NSW 2076","146 Fox Valley Rd, Wahroonga NSW 2076",NSW,https://www.adra.org.au/,02 94895488,adra.info@adra.org.au,confirmed,admin,Community
Eagle Arts & Vocational College,,"147 Duff Street, Broken Hill NSW 2880","147 Duff Street, Broken Hill NSW 2880",NSW,,0428 642 387,eagleartsandvocationalcollege@gmail.com,confirmed,admin,Community
Goulburn Multicultural Centre,,"148 Sloane St, Goulburn NSW 2580","148 Sloane St, Goulburn NSW 2580",NSW,www.gmc.org.au,02 4803 9042,info@gmc.org.au,confirmed,admin,"Legal, Education, Employment, Housing, Visa, Community"
Horn of Africa Relief & Development Agency,,"15 Henley Rd, Homebush West NSW 2140","15 Henley Rd, Homebush West NSW 2140",NSW,http://v2.harda.org.au/,,harda@harda.org.au,confirmed,admin,"Housing, Employment, Community"
